date,виза Армения
2018-01-01,0.0
2018-04-01,0.0
2018-07-01,0.0
2018-10-01,0.0
2019-01-01,0.0
2019-04-01,0.0
2019-07-01,0.0
2019-10-01,0.0
2020-01-01,0.0
2020-04-01,0.0
2020-07-01,0.0
2020-10-01,0.0
2021-01-01,0.0
2021-04-01,0.0
2021-07-01,0.0
2021-10-01,0.0
2022-01-01,0.3333333333333333
2022-04-01,0.0
2022-07-01,0.3333333333333333
2022-10-01,0.0
2023-01-01,0.0
2023-04-01,0.0
2023-07-01,0.0
2023-10-01,0.0
2024-01-01,0.0
2024-04-01,0.0
2024-07-01,0.0
2024-10-01,0.0
2025-01-01,0.0
2025-04-01,0.0
2025-07-01,0.0
2025-10-01,0.0
2026-01-01,0.0
