date,ALTQ_PaymentCards_Total,ALTQ_PaymentCards_Settlement,ALTQ_PaymentCards_Debit,ALTQ_PaymentCards_Credit,ALTQ_PaymentCards_Credit_Share,ALTQ_CardTxn_CashWithdrawal_Volume_Mln_AMD,ALTQ_CardTxn_Purchases_Volume_Mln_AMD,ALTQ_CardTxn_CardToCard_Volume_Mln_AMD,ALTQ_CardTxn_Noncash_Volume_Mln_AMD,ALTQ_CardTxn_Noncash_Share,ALTQ_CardTxn_CashWithdrawal_Number,ALTQ_CardTxn_Purchases_Number,ALTQ_CardTxn_CardToCard_Number,ALTQ_CardTxn_Noncash_Number,ALTQ_EMoney_ActiveAccounts,ALTQ_EMoney_Deposits_Volume_Mln_AMD,ALTQ_EMoney_Deposits_Number,ALTQ_EMoney_Transactions_Volume_Mln_AMD,ALTQ_EMoney_Transactions_Number,ALTQ_EMoney_GoodsServices_Volume_Mln_AMD,ALTQ_EMoney_GoodsServices_Number,ALTQ_PaymentCards_Total_YoY,ALTQ_PaymentCards_Total_QoQ,ALTQ_PaymentCards_Settlement_YoY,ALTQ_PaymentCards_Settlement_QoQ,ALTQ_PaymentCards_Debit_YoY,ALTQ_PaymentCards_Debit_QoQ,ALTQ_PaymentCards_Credit_YoY,ALTQ_PaymentCards_Credit_QoQ,ALTQ_PaymentCards_Credit_Share_YoY,ALTQ_PaymentCards_Credit_Share_QoQ,ALTQ_CardTxn_CashWithdrawal_Volume_Mln_AMD_YoY,ALTQ_CardTxn_CashWithdrawal_Volume_Mln_AMD_QoQ,ALTQ_CardTxn_Purchases_Volume_Mln_AMD_YoY,ALTQ_CardTxn_Purchases_Volume_Mln_AMD_QoQ,ALTQ_CardTxn_CardToCard_Volume_Mln_AMD_YoY,ALTQ_CardTxn_CardToCard_Volume_Mln_AMD_QoQ,ALTQ_CardTxn_Noncash_Volume_Mln_AMD_YoY,ALTQ_CardTxn_Noncash_Volume_Mln_AMD_QoQ,ALTQ_CardTxn_Noncash_Share_YoY,ALTQ_CardTxn_Noncash_Share_QoQ,ALTQ_CardTxn_CashWithdrawal_Number_YoY,ALTQ_CardTxn_CashWithdrawal_Number_QoQ,ALTQ_CardTxn_Purchases_Number_YoY,ALTQ_CardTxn_Purchases_Number_QoQ,ALTQ_CardTxn_CardToCard_Number_YoY,ALTQ_CardTxn_CardToCard_Number_QoQ,ALTQ_CardTxn_Noncash_Number_YoY,ALTQ_CardTxn_Noncash_Number_QoQ,ALTQ_EMoney_ActiveAccounts_YoY,ALTQ_EMoney_ActiveAccounts_QoQ,ALTQ_EMoney_Deposits_Volume_Mln_AMD_YoY,ALTQ_EMoney_Deposits_Volume_Mln_AMD_QoQ,ALTQ_EMoney_Deposits_Number_YoY,ALTQ_EMoney_Deposits_Number_QoQ,ALTQ_EMoney_Transactions_Volume_Mln_AMD_YoY,ALTQ_EMoney_Transactions_Volume_Mln_AMD_QoQ,ALTQ_EMoney_Transactions_Number_YoY,ALTQ_EMoney_Transactions_Number_QoQ,ALTQ_EMoney_GoodsServices_Volume_Mln_AMD_YoY,ALTQ_EMoney_GoodsServices_Volume_Mln_AMD_QoQ,ALTQ_EMoney_GoodsServices_Number_YoY,ALTQ_EMoney_GoodsServices_Number_QoQ
2017-01-01,,,,,,,,,,,,,,,44414.0,4718.773,392065.0,3604.882,734934.0,133.371,10422.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-01,,,,,,,,,,,,,,,53313.0,5881.316,544943.0,4374.797,1069723.0,517.738,55409.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.036474985364983,,24.63655276488188,,38.99302411589915,,21.357564547189046,,45.553614338158255,,288.1938352415443,,431.6541930531568
2017-07-01,,,,,,,,,,,,,,,61547.0,7356.173,646812.0,5643.245,1268906.0,775.718,82543.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.444638268339794,,25.076989571721708,,18.693514734568573,,28.994442484988458,,18.620053976590214,,49.82829152969259,,48.970383872656065
2017-10-01,,,,,,,,,,,,,,,72733.0,9851.919000000002,820717.0,7695.759,1574876.0,891.399,84529.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.174728256454408,,33.927233630856726,,26.88648324397198,,36.37116588062366,,24.11289725164827,,14.912764690261149,,2.4060186811722284
2018-01-01,,,,,,,,,,,,,,,97878.0,12456.802698,948726.0,9436.479416659675,1764077.0,833.208,83486.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.37645787364343,34.57165248236702,163.9839360359144,26.440368602299678,141.9818142399857,15.597215605379189,161.7694397946916,22.61921685255053,140.03203008705546,12.013707745879664,524.7295139123197,-6.528053094068986,701.0554596046824,-1.2338960593405779
2018-04-01,,,,,,,,,,,,,,,121774.0,14505.344769000001,1131703.0,10813.571961180001,2034723.0,786.545,87940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.4133325830473,24.414066490937692,146.63433777406283,16.44516751741525,107.67364660157116,19.2866011893845,147.17882821031472,14.59328721778519,90.21026938749563,15.342074070462907,51.919503687193114,-5.600402300506002,58.710678770596836,5.335026231943085
2018-07-01,,,,,,,,,,,,,,,148815.0,16511.37491367,1264374.0,12560.18107224,2245294.0,702.02,81510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.79082652281997,22.205889598764927,124.4560441097565,13.829592999107287,95.4778204486002,11.723128771417946,122.57018917732618,16.152008950698328,76.94722855751333,10.348877955377711,-9.500617492439256,-10.746365433636985,-1.251468931344879,-7.311803502387992
2018-10-01,,,,,,,,,,,,,,,195442.0,19151.937140480004,1520152.0,14029.663516748424,2574273.0,831.179,89644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.7115889623692,31.3321909753721,94.39803697614649,15.992382467336785,85.22243355505003,20.229615604243676,82.30383145766939,11.69953232406986,63.458773897119514,14.651934223313301,-6.755672824402992,18.398193783652882,6.051177702327015,9.979143663354195
2019-01-01,,,,,,,,,,,,,,,243253.0,23609.327711160004,1873664.0,17527.41135989,2988704.0,696.534,81857.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.52673736692617,24.463012044494015,89.52959506174562,23.273836677642134,97.49263749491423,23.25504291676095,85.7410013415189,24.93108861068558,69.42026906988754,16.09895298594981,-16.403347063398332,-16.19927837445364,-1.9512253551493663,-8.686582481816963
2019-04-01,,,,,,,,,,,,,,,280948.0,24972.365004799998,2033435.0,18268.460582350002,3275437.0,664.732,84451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.71263159623564,15.496211763061506,72.15974802728935,5.77329990212172,79.679209121121,8.52719591132669,68.94011199937033,4.227944487888435,60.977046998534945,9.593890863732234,-15.487098640255804,-4.565749841357347,-3.967477825790311,3.1689409580121453
